id,name,club,profileLink
1378,Dusa Jakub - Hamranova Lara,Slovakia,par.php?id=3287
1379,Adam Prágr - Nela Samsonková,Czech Republic,par.php?id=3290
1380,Matyas Felcman - Klara Hejna,Czech Republic,par.php?id=3285
1381,Martin Novak - Julie Kasalkova,Czech Republic,par.php?id=3288
1382,Dominik Veverka - Aneta Zymova,Czech Republic,par.php?id=3286
1383,Zilahi Szabolcs György - Czina Boglárka,DanceStation Táncsport Egyesület,par.php?id=2638
1384,Budai Attila - Barna Lilla,Valcer Táncstúdió,par.php?id=722
1385,Antal Gergő - Hercsik Zsuzsanna,Miskolcz-Revital TSE - Valcer Táncstúdió,par.php?id=1582
1386,Szőts Dániel - Egresi Melinda Beatrix,STEPHANY-DANCE Táncművészeti KFT,par.php?id=2430
1387,Török Árpád - Molnár Barbara,Flamenco 2001 TSE,par.php?id=2375
1388,Bátor Tamás - Fügedi Laura,Goldance Táncsport Egyesület - Miskolcz-Revital TSE,par.php?id=2372
1389,Csömör Marcell Krisztián - Demeter Csilla,Oktogon Tánccentrum - DuDance Tánc-Egyesület,par.php?id=1513
1390,Gál Krisztián - Vörös Liza,Valcer Táncstúdió - SZOLDANCE Táncsport Egyesület,par.php?id=2658
1391,Bartek János - Mezősi Daniella,Adria-Szigó KTSE - Pro-Art Táncstúdió,par.php?id=2497
1392,Pop Vlad Alex - Butor Zsófia,Brilli-Art Studio Közhasznú Táncsport Egyesület - Quality Dance TSE,par.php?id=2146
1393,Mózsik Zsolt - Hauszmann Stefánia,Sundance Tánc Sport Egyesület,par.php?id=268
1394,Kovács Győző - Ancsin Viktória Edit,Forma Táncsport Egyesület - Nyíri Lajos Táncsport Egyesület,par.php?id=165
1395,Wirth Bence - Gorosics Csenge,Adria-Szigó KTSE,par.php?id=378
1396,Kovács Barna - Balassa Borostyán,BNK Tánc Sportegyesület,par.php?id=5538
1397,Kudomrák Noel - Péntek Bori,Ametiszt Táncsport Egyesület,par.php?id=5585
1398,Antal Bence Dominik - Kárászi Kata Hanna,Szilver Táncsport Egyesület,par.php?id=5729
1399,Halász Marcell - György Noémi,Szilver Táncsport Egyesület,par.php?id=5440
1400,Konstantinovics Márk - Petrás Zília,Szilver Táncsport Egyesület,par.php?id=5544
1401,Nagy Bálint Benjámin - Rákosi Lea Aisa,Spirit Tánc Sport Egyesület,par.php?id=7031
1402,Gradolszky Gergő - Wachter Hanna,PresiDance Táncsport Egyesület,par.php?id=7310
1403,Milkovics Péter - Révész Karina,Stúdió 2000 TSE - Fulldance Táncsport Egyesület,par.php?id=2515
1404,Varga Márk - Prohászka Fruzsina,Lorigo Táncsport Egyesület,par.php?id=1120
1405,Kelemen András - Zink Zsófia,Happy Dance Táncsport Egyesület,par.php?id=48
1406,Németh Boldizsár - Pánczél Nóra,Felicita KTSE,par.php?id=62
1407,Medgyesi Dániel - Busa Dóra,Szilver Táncsport Egyesület,par.php?id=250
1408,Rozsnyai Márton - Denke Dorka,Sziget Dance Táncsport Egyesület,par.php?id=1146
1409,Kovács Balázs - Szkala Györgyi,Botafogo Táncegyüttes - Claudius Táncsport Egyesület,par.php?id=5587
1410,Nagy Bálint - Moss Kinga Anna,Spirit Tánc Sport Egyesület,par.php?id=5812
1411,Tóth Zoltán - Kránitz Anna Boglárka,Lorigo Táncsport Egyesület,par.php?id=2628
1412,Lontay Olivér Márk - Darabos Júlia,IKON Táncsport Egyesület,par.php?id=2516
1413,Fésüs Ákos - Szalai Réka,Oktogon Tánccentrum,par.php?id=2307
1414,Balázs Vince - Kubányi Dóra,Danza Táncsport Egyesület,par.php?id=2178
1415,Radits Dávid - Mravik Márta Zita,El Paso SE,par.php?id=2362
1416,Orbán Gergő Botond - Kiss Emma Júlia,C&M Dance Studio Tánc Sport Egyesület,par.php?id=2337
1417,Mihók Máté - Mezey Viktória,Valcer Táncstúdió,par.php?id=5043
1418,Koroknai Roland - Batyi Enikő,Savaria Táncsport Egyesület,par.php?id=5049
1419,Karaf Norbert - Kiss Eliza,L-DANCE GROUP Táncsport Egyesület,par.php?id=5456
1420,Gyurkó Dávid - Magyar Zsanett,Valcer Táncstúdió,par.php?id=5470
1421,Horváth Dávid Attila - Kaszás Anikó Zsuzsanna,Valcer Táncstúdió,par.php?id=5429
1422,Csizmadia Benedek - Széll-Szabó Lili,Savaria Táncsport Egyesület,par.php?id=5554
1423,Fésűs Ákos - Slobodová Nicol,Pro-Art Táncstúdió,par.php?id=5444
1424,Szabó Gabriel Lucian - Fekete Renáta,Szilver Táncsport Egyesület,par.php?id=5481
1425,Lantos Marcell Attila - Révész Karina,Szilver Táncsport Egyesület - Fulldance Táncsport Egyesület,par.php?id=5140
1426,Farkas Zsolt - Szilágyi Noémi,Tornádó TSE,par.php?id=95
1427,Czopf Márton - Nagy Alexandra,Adria-Szigó KTSE,par.php?id=494
1428,Pohli Gergely - Angyal Fanni,Adria-Szigó KTSE,par.php?id=495
1429,Szeőke Bálint - Cserkuti Dóra,Adria-Szigó KTSE,par.php?id=1650
1430,Soós Gábor - Atanasziu Alexandra Laura,DANZA Táncsport Klub,par.php?id=83
1431,Szauer Szilárd - Szőnyi Erika,Laguna KTSE,par.php?id=791
1432,Csejtei Csaba - Tánczos Gréta,Savaria Táncsport Egyesület,par.php?id=1116
1433,Molnár Dominik - Kovács Viktória Kitti,Savaria Táncsport Egyesület,par.php?id=1039
1434,Robert Maric - Ana Maric,Horvátország,par.php?id=1109
1435,Kotymán Arnold - Dávid Adrienn,Szoldance TSE,par.php?id=379
1436,Sway Cha-cha - 10,Lehel-Melody TSE,par.php?id=4761
1437,Csepeti Henrietta -,Unique TáncSport Egyesület,par.php?id=6797
1438,Dobovits Léna -,Ritmo Sporttánc Egyesület,par.php?id=7127
1439,Hidvégi Annabell Ester -,Érdi Táncsport Egyesület,par.php?id=7191
1440,Vezendi Nóra -,Dance Universe Tánc Sportegyesület,par.php?id=7160
1441,Völgyi Adél -,Lorigo Táncsport Egyesület,par.php?id=7220
1442,Farkas Réka Krisztina -,Dance Universe Tánc Sportegyesület,par.php?id=7221
1443,Mihalovics Hanna Kíra -,C&M Dance Studio Tánc Sport Egyesület,par.php?id=7126
1444,Szabó Kíra Viktória -,Dance Universe Tánc Sportegyesület,par.php?id=7172
1445,Daskó Leila -,Szabolcs KSE,par.php?id=7173
1446,Detréné Törőcsik Henriett Mári -,Érdi Táncsport Egyesület,par.php?id=7244
1447,Kalapács Bence - Miskolczi Nóra,Szilver Táncsport Egyesület,par.php?id=4802
1448,Patkós Máté - Juhász Dóra,Stúdió 2000 TSE - Pro-Art Táncstúdió,par.php?id=4838
1449,Pusch Kevin - Stercz Míra Krisztina,SZIGO Kulturális Táncsport Egyesület,par.php?id=5363
1450,Kozák László Richárd - Németh Laura,Pro-Art Táncstúdió - Forma Táncsport Egyesület,par.php?id=5156
1451,Oláh Kristóf - Novák Csenge,Pro-Art Táncstúdió,par.php?id=438
1452,Csaba Zsófia -,Érdi Táncsport Egyesület,par.php?id=6704
1453,Ungvári Gréta -,Valcer TáncSport Egyesület,par.php?id=6601
1454,Farkas Míra Dorina -,Ritmo Sporttánc Egyesület,par.php?id=6752
1455,Lente Ágota  -,Dance Universe Tánc Sportegyesület,par.php?id=6591
1456,Szomor Csenge Lilla -,Dance Universe Tánc Sportegyesület,par.php?id=6473
1457,Adrián Anikó -,Érdi Táncsport Egyesület,par.php?id=6796
1458,Rohonczi Hunor - Erdős Larissza,Letenyei Alapfokú Művészeti Iskola,par.php?id=7424
1459,Reiter Renátó - Kersák Dóra,Botafogo Táncegyüttes - Fulldance Táncsport Egyesület,par.php?id=3192
1460,ParaDance Company -,DanceStation Táncsport Egyesület,par.php?id=2944
1461,Szalai Dénes Ferenc - Balla Petra,Spirit Tánc Sport Egyesület,par.php?id=2
1462,Patkós Máté - Sulyán Lilla Katalin,Spirit Tánc Sport Egyesület,par.php?id=5566
1463,Uveges Marcel - Uveges Henrieta,Slovakia,par.php?id=3602
1464,Győrfi Erik - László Vivien Hanna,iDanceStudio KTSE,par.php?id=4785
1465,Tamás Marcell - Tamás Blanka,SZIGO Kulturális Táncsport Egyesület,par.php?id=3855
1466,Tarcsay Tamás - Landi Lolita Enikő,SZIGO Kulturális Táncsport Egyesület - Corso Tánc Sportegyesület,par.php?id=3857
1467,Lőrincz Richárd - Dominkovics Réka,iDanceStudio KTSE,par.php?id=3209
1468,Faludi Bálint - Rózsai Vivien,Lorigo Táncsport Egyesület,par.php?id=6259
1469,Hidi Balázs - Kis Violetta,Valcer TáncSport Egyesület - Szilver Táncsport Egyesület,par.php?id=3360
1470,Pellei Mihály - Leca Mioara,Spirit Tánc Sport Egyesület - Metropolis Dance Sportegyesület,par.php?id=7534
1471,Kolozsváry Mátyás - Balogh Rebeka,El Paso SE - Botafogo Táncegyüttes,par.php?id=7013
1472,Bánáti Barnabás - Turkevics Bogdana,Quality Dance TSE,par.php?id=7275
1473,Petrenkó Tamás - Juhász Dóra,Forma Táncsport Egyesület - DanceStation Táncsport Egyesület,par.php?id=5443
1474,Barkaszi Bálint - Horváth Flóra Kamilla,SZIGO Kulturális Táncsport Egyesület,par.php?id=7237
1475,Gáspár Patrik - Kiss Beatrix,Valcer TáncSport Egyesület,par.php?id=7305
1476,Perjési Milán - Mihók Milla,Quality Dance TSE,par.php?id=6202
1477,Kosztolányi Elek - Varga Lili,Szilver Táncsport Egyesület - SZILVER Tánc Egyesület,par.php?id=6866
1478,Svajda Szabolcs - Farkas Gréta Zsuzsanna,El Paso SE - Miskolcz-Revital Táncsport Egyesület,par.php?id=6928
1479,Labancz Gábor - Dudás Lili Enikő,Botafogo Táncegyüttes,par.php?id=7440
1480,Kabdebó András Dénes - Stoye Vivien,Stúdió 2000 TSE,par.php?id=5779
1481,Jahni Ákos - Badak Emese,Szilver Táncsport Egyesület - Botafogo Táncegyüttes,par.php?id=7343
1482,Mihályfi Máté - Diószegi Dorka Kata,Brilli-Art Studio Közhasznú Táncsport Egyesület,par.php?id=5708
1483,Kökényesy Dominik - Molnár Petra,Botafogo Táncegyüttes,par.php?id=6298
1484,Ádám Balázs Benedek - László Imola Lilien,Spirit Tánc Sport Egyesület - Quality Dance TSE,par.php?id=6995
1485,Ábrám Erik - Petrovánszky Laura,OPCIÓ Kft - ZugloDance - Oktogon Tánc Centrum Egyesület,par.php?id=7272
1486,Rácz Norbert - Kaáli Anna,Spirit Tánc Sport Egyesület,par.php?id=7533
1487,Galambos Dániel - Boros Lilla Csenge,Freetime Táncsport Egyesület  - Spirit Tánc Sport Egyesület,par.php?id=7263
1488,Ilonka Zoltán - Jagyugya Dóra,Goldance Táncsport Egyesület,par.php?id=6411
1489,Kovács Balázs - Bali Brigitta,Botafogo Táncegyüttes - PRO-ART ELIT Egyesület,par.php?id=6854
1490,Koszta Marcell - Gruber Rebeka,Spirit Tánc Sport Egyesület - SZIGO Kulturális Táncsport Egyesület,par.php?id=7123
1491,Jánka István - Juhász Adrienn,Fulldance Táncsport Egyesület,par.php?id=2671
1492,Dóczi Zsilák László - Bottyán Blanka,Szilver Táncsport Egyesület,par.php?id=2680
1493,Paizs Ármin Gábor - Paizs Rebeka,San Dance Studio Táncsport Egyesület - Ametiszt Táncsport Egyesület,par.php?id=2232
1494,Horváth Levente - Szabó Patrícia,Laguna KTSE,par.php?id=2676
1495,Horváth Ákos Zoltán - Horváth Adél Nóra,Ritmo Sporttánc Egyesület,par.php?id=2772
1496,Soós Zoltán - Lőrentei Judit,Everydance Táncsport Egyesület,par.php?id=7055
1497,Kovács Lajos - Kovács Vivien,Valcer Táncstúdió,par.php?id=1566
1498,Urbán Attila - Tihanyi Bettina,Lesz Dance Tánc- és Sportegyesület,par.php?id=1568
1499,Németh Csaba - Csernák Alexandra,Pro-Art Táncstúdió,par.php?id=84
1500,Berta Péter - Fábrik Zita,Szilver Táncsport Egyesület,par.php?id=1564
1501,Tóth György - Horváth Gyöngyi,Oktogon Tánccentrum,par.php?id=1682
1502,Szűcs Róbert - Makai Stella,Dance Universe Tánc Sportegyesület,par.php?id=677
1503,Daróczi Ákos - Rezes Szabina Zsanett,Lesz Dance Tánc- és Sportegyesület,par.php?id=1569
1504,Pető Zoltán - Varga Jázmin,Szilver Táncsport Egyesület - SZILVER Tánc Egyesület,par.php?id=7016
1505,Krómer Attila Dominik - Kulimár Zsófi,SZABOLCS KULTURÁLIS ÉS SPORT Egyesület,par.php?id=6198
1506,Gombár Dániel - Repáruk Ildikó,Bajai Táncsport Egyesület,par.php?id=5628
1507,Borbély Dávid - Mokovecz Jázmin,El Paso SE,par.php?id=6918
1508,Márta Ákos Erik - Márta Vivien Jázmin,Goldance Táncsport Egyesület,par.php?id=6877
1509,Kállai Ádám István - Pintér Bianka,SZOLDANCE Táncsport Egyesület,par.php?id=5229
1510,Vermes Máté - Gerencsér Zsófia,Lorigo Táncsport Egyesület,par.php?id=3601
1511,Jakab Barnabás - Horváth Szofi,SZIGO Kulturális Táncsport Egyesület,par.php?id=4479
1512,Gombos Dávid - G. Tóth Zoé,Gála Társastáncklub Egyesület,par.php?id=4342
1513,Kocsis Vince György - Vörös Rubina,Lorigo Táncsport Egyesület,par.php?id=7228
1514,Ternyák Marcell - Horváth-Szabó Alíz,SZIGO Kulturális Táncsport Egyesület,par.php?id=7265
1515,Orbán Olivér - Orbán Daisy,SZIGO Kulturális Táncsport Egyesület,par.php?id=7225
1516,Szieberth Kende - Markó Liána,SZIGO Kulturális Táncsport Egyesület,par.php?id=7264
1517,Babcsány Nimród - Horváth Patrícia,Ametiszt Táncsport Egyesület,par.php?id=7071
1518,Porcza Martin Benjamin - Zselló Mira,El Paso SE,par.php?id=7487
1519,Fajt-Ujj Bercel - Parrag-Siposs Lilien,Gála Társastáncklub Egyesület,par.php?id=6865
1520,Pásztori Kevin - Tóth Rebeka,Gála Társastáncklub Egyesület,par.php?id=6863
1521,Házas Gergő - Domokos Lilla,BNK Tánc Sportegyesület,par.php?id=5798
1522,Zsebők Lőrinc - Horváth Kíra,Tornádó TSE Kozármisleny,par.php?id=5644
1523,Papp Benjamin - Papp Jázmin Noémi,Ametiszt Táncsport Egyesület,par.php?id=5825
1524,Kántor Zsombor Imre - Bohn Lorin,iDanceStudio KTSE,par.php?id=4784
1525,Vajda Ármin - Káldi Katalin,Ametiszt Táncsport Egyesület,par.php?id=2942
1526,Bedecs András - Fischer Letícia,Emotion Táncstúdió,par.php?id=3143
1527,Magyar Kristóf - Németh Zsóka,Gála Társastáncklub Egyesület,par.php?id=2687
1528,Beke Mátyás - Czibulya Vivien Hanna,Gála Társastáncklub Egyesület,par.php?id=2812
1529,Gombos Dávid - Ruzsics Anna,Gála Társastáncklub Egyesület,par.php?id=2802
1530,Kőműves Krisztofer - Kőműves Dzsenifer,Ametiszt Táncsport Egyesület,par.php?id=2949
1531,Molnár Levente István - Köcse Réka,Gála Társastáncklub Egyesület,par.php?id=2851
1532,Ungor Lora -,Ritmo Sporttánc Egyesület,par.php?id=7006
1533,Nagy Luca -,El Paso SE,par.php?id=6900
1534,Kovács Lilla Kamilla -,Fulldance Táncsport Egyesület,par.php?id=6707
1535,Farkas Hanna Mírjána -,Ritmo Sporttánc Egyesület,par.php?id=7004
1536,Bányai Bíborka -,Dance Universe Tánc Sportegyesület,par.php?id=6640
1537,Labancz Gábor - Horváth Flóra Kamilla,Botafogo Táncegyüttes,par.php?id=4794
1538,Lehóczki Zsolt - Bernáth Odett,Botafogo Táncegyüttes,par.php?id=4771
1539,Paizs Ármin Gábor - Jeges Jázmin Mirjam,Ametiszt Táncsport Egyesület,par.php?id=3391
1540,Udvardi Gergely Balázs - Kánya Beáta Hanna,Lorigo Táncsport Egyesület,par.php?id=5365
1541,Joó Csenger - Rába Rebeka,Lorigo Táncsport Egyesület,par.php?id=5206
1542,Gorza Milán - Bödő Liána,PresiDance Táncsport Egyesület,par.php?id=5221
1543,Tátrai Dániel István - Széll-Szabó Lili,Savaria Táncsport Egyesület,par.php?id=4906
1544,Szabó Tamás Áron - Karasi Zoé Hanga,Valcer Táncstúdió,par.php?id=2579
1545,Hajdú Viktor - Sólyom Petra Veronika,Kner Táncsport Egyesület,par.php?id=2578
1546,Molnár Miklós Milán - Szilágyi Zsófia,Dance Universe Tánc Sportegyesület,par.php?id=5172
1547,Nagy Péter - Zarándy Réka,Dance Universe Tánc Sportegyesület,par.php?id=5171
1548,Tóth Marcell - Lakatos Zsófia,Stúdió 2000 TSE - Sundance Tánc Sport Egyesület,par.php?id=5226
1549,Csányi Bálint Tibor - Gulyás Dalma,Fulldance Táncsport Egyesület - Sziget Dance Táncsport Egyesület,par.php?id=1672
1550,Grace Nóra -,Freetime Táncsport Egyesület,par.php?id=7340
1551,Markolt Hanna -,Bonton Tánc Sport Egyesület,par.php?id=7332
1552,Piróth Eszter Katalin -,Freetime Táncsport Egyesület,par.php?id=7198
1553,Kiss Boglárka -,Valcer TáncSport Egyesület,par.php?id=7253
1554,Molnár Csenge Sára -,Freetime Táncsport Egyesület,par.php?id=7333
1555,Vékony Viktor - Loga Hajnalka Csilla,Valcer Táncstúdió,par.php?id=393
1556,Plósz Bence - Fejes Dalma,Ködmön Társastánc SE-Miskolcz-Revital TSE,par.php?id=681
1557,Czibulka Alex - Hajdú Andrea,Kner Táncsport Egyesület,par.php?id=394
1558,Szabó Máté - Fodor Zsófia,Wings Táncsport Egyesület-Stúdió 2000 TSE,par.php?id=395
1559,Dulai György - Juhász Kitti,Szilver Táncsport Egyesület,par.php?id=682
1560,Balajti Péter - Putnóczki Zsanet,Ködmön Társastánc SE,par.php?id=683
1561,Zahradnik Roland - Kurilla Liliána,Dance Express Tánc Sport Egyesület,par.php?id=6443
1562,Tury Barnabás - Mosdósi Lora,EMOTION („Érzelem”) TÁNCSTÚDIÓ Egyesület,par.php?id=6587
1563,Hauser Barnabás - Vincze-Bogárdi Olívia,El Paso SE,par.php?id=6526
1564,Simon Ernő Félix - Szabó-Csécsi Viktória,Valcer TáncSport Egyesület,par.php?id=6368
1565,Menyhárt Zalán - Pető-Szőllősi Indira,Valcer TáncSport Egyesület,par.php?id=6479
1566,Neisz Máté Dániel - Sidlovics Kenda,EXCELLENCE Tánc Sportegyesület,par.php?id=6553
1567,Horváth Noel - Beliczky Jázmin Helga,EMOTION („Érzelem”) TÁNCSTÚDIÓ Egyesület,par.php?id=6588
1568,Csató Hunor - Major Viktória,SZOLDANCE Táncsport Egyesület,par.php?id=6487
1569,Gaál Kristóf - Edve Klementina,EMOTION („Érzelem”) TÁNCSTÚDIÓ Egyesület,par.php?id=6586
1570,Szalantai Erik István - Dobrai Dalma,Papiron Szeged Versenytáncklub Egyesület,par.php?id=5231
1571,Povázsay Csanád Máté - Ötvös Dóra,Miskolcz-Revital Táncsport Egyesület,par.php?id=6571
1572,Pajer Csaba - Bernáth Violett,TAZE Tánc Sportegyesület,par.php?id=6793
1573,Botos Zsolt Armand - Bernáth Odett,Botafogo Táncegyüttes,par.php?id=124
1574,Ottmár Balázs - Molnár Virág,Medalion Táncsport egyesület,par.php?id=118
1575,Holló Patrik - Holka Jázmin,Brilli-Art Studio KTE,par.php?id=440
1576,Patkós Máté - Pszota Eszter,Stúdió 2000 TSE,par.php?id=41
1577,Kollár Szabolcs - Prágai Szimonetta,Szilver Táncsport Egyesület,par.php?id=942
1578,Péter-Szabó Donát - Gendur Kíra,Stúdió 2000 TSE,par.php?id=446
1579,Rúzsa Bence - Horváth Liza,Stúdió 2000 TSE,par.php?id=445
1580,Sántha Norbert - Forgács Anna Mónika,Szilver Táncsport Egyesület,par.php?id=310
1581,Erdélyi Árpád - Patai Vanessza,Stúdió 2000 TSE,par.php?id=967
1582,Papp Gergely - Lázár Nina,Stúdió 2000 TSE,par.php?id=1757
1583,Balázs Dávid - Huszáros Fanni,Pro-Art Táncstúdió,par.php?id=5565
1584,Tóth Ádám - Tari Alexandra Mária,Dance Universe Tánc Sportegyesület - Oktogon Tánc Centrum Egyesület,par.php?id=5177
1585,Raul Szabolcs János - Markó Margit Virág,Stúdió 2000 TSE - Medalion Táncsport Egyesület,par.php?id=5558
1586,Flekács László - Maginecz Adél,Miskolcz-Revital TSE,par.php?id=5464
1587,Kolozsi Sándor - KASZAS REGINA,Románia,par.php?id=5164
1588,Schiller-Tamás László - Szennyesi Blanka,Fenomén TáncSport Egyesület,par.php?id=2903
1589,Jankovics Attila - Sándor Panna,JoyDance Táncsport Egyesület,par.php?id=2703
1590,Kovács Kristóf - Zauer Dóra,Danza Táncsport Egyesület,par.php?id=5484
1591,Nagy Zalán Zsolt - Torják Gerda,Medalion Táncsport Egyesület,par.php?id=2696
1592,Rácz Alex - Nagy Fanni Orsi,Szilver Táncsport Egyesület,par.php?id=1546
1593,Vajda András István - Tatár Bianka,Forma Táncsport Egyesület,par.php?id=242
1594,Savanya László - Savanyáné Árvai Margit,Forma Táncsport Egyesület,par.php?id=1486
1595,Mitlasóczki Endre - Pindur Cintia Réka,Szilver Táncsport Egyesület,par.php?id=190
1596,Gulyás Áron - Auer Csenge Daniella,Cit-Car Táncsport Egyesület,par.php?id=138
1597,Szabó Zsolt - György Marcella,Goldance Táncsport Egyesület,par.php?id=923
1598,Bölöni Barna - Erdős Lilla,Dimenzió Táncsport Egyesület,par.php?id=3133
1599,Sisák Tamás Zoltán - Kádár Tünde,Papiron Szeged Versenytáncklub Egyesület,par.php?id=7232
1600,Horváth Előd Áron - Oszlánczi Anikó Krisztina,Szilver Táncsport Egyesület,par.php?id=5438
1601,Kohon Patrik - Kiss Luca,Szilver Táncsport Egyesület - Stúdió 2000 TSE,par.php?id=2632
1602,Podlovics Tamás - Tóth Eszter Noémi,Fulldance Táncsport Egyesület,par.php?id=1671
1603,Szabó Patrik - Udvari Nelli,Brilli-Art Studio Közhasznú Táncsport Egyesület,par.php?id=975
1604,Sándorfi Bálint Tamás - Simara Bettina,Dream Dance Tánc Sportegyesület,par.php?id=273
1605,Horváth Patrik - Pandur Katalin,Adria-Szigó KTSE,par.php?id=1635
1606,Pandur Péter - Várkonyi Dóra,Adria-Szigó KTSE,par.php?id=1636
1607,Fésűs Ákos - Botos Mercédes Melinda,Oktogon Tánccentrum - Pro-Art Táncstúdió,par.php?id=2822
1608,Vigh Áron - Czakó Molli,Szilver Táncsport Egyesület,par.php?id=6538
1609,Jurás László - Jurás Liza,Dance Universe Tánc Sportegyesület,par.php?id=6505
1610,Dankó Tamás József - Karacs Anna Erzsébet,Valcer Táncstúdió,par.php?id=4798
1611,Greff Patrik Tibor - Gáspár Hédi,Szilver Táncsport Egyesület - JoyDance Táncsport Egyesület,par.php?id=7523
1612,Kiss Krisztofer - Márkus Nóra,Danza Táncsport Egyesület,par.php?id=5750
1613,Szászkay Miklós - Illés Írisz,INFINITY DANCE COMPANY TÁNCSPORT EGYESÜLET,par.php?id=5591
1614,Kovács Marcell Krisztián - Németh Laura,Press Dance Táncsport Egyesület,par.php?id=5670
1615,Tóth Kornél - Fábján Napsugár,Sundance Tánc Sport Egyesület,par.php?id=5578
1616,Lekszikov András Zsigmond - Czuring Nóra,Eraklin Táncklub Egyesület,par.php?id=5368
1617,Császár Bálint - Kránicz Kíra,Press Dance Táncsport Egyesület,par.php?id=5626
1618,Faragó Bence - Bodnár Eszter,Claudius Táncsport Egyesület,par.php?id=5809
1619,Borbély Dávid - Parragh Tícia Krisztina,El Paso SE,par.php?id=5493
1620,Tuboly Ádám - Németh Lara Zoé,Press Dance Táncsport Egyesület,par.php?id=5671
1621,Susánszky Richárd - Patzer Noémi Lilla,Nyíri Lajos Táncsport Egyesület - Kner Táncsport Egyesület,par.php?id=5139
1622,Tóthmihály Bálint - Harkányi Réka,Sundance Tánc Sport Egyesület,par.php?id=5146
1623,Teremi Roland - Pitonya Liza Mira,Stúdió 2000 TSE,par.php?id=5215
1624,Gyorfi Erik - L?szl? Vivien Hanna,PresiDance T?ncsport Egyes?let,par.php?id=5874
1625,Sis?k Tam?s - Krist? No?mi,Papiron Szeged Versenyt?ncklub Egyes?let - Szilver T?ncsport Egyes?let,par.php?id=5875
1626,Keresztes Gergo - Horv?th Hanna,Sundance T?nc Sport Egyes?let,par.php?id=5876
1627,Varga Krist?f - Moln?r Vir?g,INFINITY DANCE COMPANY T?NCSPORT EGYES?LET,par.php?id=5877
1628,Pop Daniel - Goras Mihaela,,par.php?id=5865
1629,Horv?th Oliv?r - Szit?s Alexandra,Sundance T?nc Sport Egyes?let,par.php?id=5878
1630,Baksa Barna - Kepenyes-Darida Zoé,Szilver TSE,par.php?id=4696
1631,Mádi Márton Kende - Major Viktória,Szoldance Táncsport Egyesület,par.php?id=4697
1632,Sipos Marcell - Bereczki Maja,Szilver TSE,par.php?id=4698
1633,Laurinyecz Levente - Szabó Kira,Silver TSE,par.php?id=4700
1634,Polónyi Kevin - Dorogi Edina Anna,Szilver Táncsport Egyesület,par.php?id=3347
1635,Miskolci Döme Máté - Nagy Leila Diána,Ködmön Társastánc SE,par.php?id=7062
1636,Váczi Armand Péter - Váczi Rubina Barbara,El Paso SE,par.php?id=7078
1637,Kapronczai Ádám Tamás - Villányi Dorka,SZIGO Kulturális Táncsport Egyesület,par.php?id=5488
1638,Kovács Barna - Szép Zoé Boróka,BNK Tánc Sportegyesület,par.php?id=6191
1639,Komáromi Miklós Erik - Papp Vivien,Forma Táncsport Egyesület,par.php?id=4644
1640,Hevesi Dániel - Laskói Réka,Spirit Tánc Sport Egyesület - Freetime Táncsport Egyesület,par.php?id=7318
1641,Bodini Marco - Charitonovaite Kristina,Italy,par.php?id=2995
1642,Roccatti Andrea - Iannone Flaminia,Italy,par.php?id=4528
1643,Sciamanna Eros - Jaglinska Anna Angelika,Poland,par.php?id=2991
1644,Podduev Stepan - Sibeleva Margarita,Russian Federation,par.php?id=4529
1645,Yevtyeryev Dmytro - Dorofei Valeriia,Ukraine,par.php?id=4530
1646,Stopka Dariusz - Rek Karolina,Poland,par.php?id=3568
1647,Redziuk Roman - Basiuk Elizaveta,Ukraine,par.php?id=4531
1648,Sitkin Maxim - Karpova Svetlana,Russian Federation,par.php?id=4532
1649,Fus Dominik - Ziffova Terezia Valeria,Austria,par.php?id=3006
1650,Walisiak Przemyslaw - Pres Katarzyna,Poland,par.php?id=4533
1651,Feyzikov Rafail - Lukashik Kristina,Russian Federation,par.php?id=4534
1652,Prikryl Tomas - Chovancova Sanela Los,Czech Republic,par.php?id=3000
1653,Loretucci Alessio - Ricci Elisa,Italy,par.php?id=3572
1654,Bencze István - Prozlik Anna,Szilver Táncsport Egyesület,par.php?id=2849
1655,Grande Remo - Karavaki Maria,Greece,par.php?id=3001
1656,Gombkötő Balázs - Laskovics Petra,Lorigo Táncsport Egyesület,par.php?id=2496
1657,Jaluvka Jiri - Vyduchova Natalie,Czech Republic,par.php?id=3964
1658,Szabó Noel Marcell - Mártha Mercédesz Laura,Valcer Táncstúdió,par.php?id=3181
1659,Kroytoru Maxim - Bashan Chen,Israel,par.php?id=4535
1660,Szajduk Szabolcs Tamás - Illés Dominika,SZIGO Kulturális Táncsport Egyesület,par.php?id=2867
1661,Taddei Pio - Fanini Ilaria,Italy,par.php?id=4536
1662,Zemlyakov Oleg - Riederova Iva,Czech Republic,par.php?id=4537
1663,Ondracek Robin - Jendrulkova Tereza,Czech Republic,par.php?id=4538
1664,Betnev Anton - Klenner Melanie,Austria,par.php?id=4539
1665,Livshits Gabriel - Nerst Sharon,Israel,par.php?id=4540
1666,Vlach Karel - Nemcova Barbora,Czech Republic,par.php?id=4541
1667,Petkovic Gavrilo - Jevtic Sara,Serbia,par.php?id=4300
1668,Simikic Nemanja - Simikic Tijana,Serbia,par.php?id=3015
1669,Kopt Maximilian - Seiringer Daniela,Austria,par.php?id=4542
